family,seed,sigma,injection_z,injection_primary,n_frames,injection_index,reconstruction_max_abs_error,threshold_e95,full_dim,compact_dim,full_distance_calls,compact_distance_calls,full_max_null,full_max_injected,full_above_null,full_ratio,full_argmax_i,full_argmax_j,full_localization_ok,adjacent_max_null,adjacent_max_injected,adjacent_above_null,adjacent_ratio,adjacent_argmax_interval,compact_localization_ok,detect_full_null,detect_full_injected,detect_compact_null,detect_compact_injected,attributed_full,attributed_compact,compact_null_eta,compact_injected_eta
A,1000,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.524251583025298,0.524251583025298,,0,8,true,0.0,0.524251583025298,0.524251583025298,,7,true,false,true,false,true,true,true,nan,0.0
A,1000,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.06188598229838255,0.06188598229838255,,0,8,true,0.0,0.06188598229838255,0.06188598229838255,,7,true,false,true,false,true,true,true,nan,0.0
A,1001,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.4109413233193441,0.4109413233193441,,0,8,true,0.0,0.4109413233193441,0.4109413233193441,,7,true,false,true,false,true,true,true,nan,0.0
A,1001,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.06773526258842699,0.06773526258842699,,0,8,true,0.0,0.06773526258842699,0.06773526258842699,,7,true,false,true,false,true,true,true,nan,0.0
A,1002,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.42964711212008455,0.42964711212008455,,0,8,true,0.0,0.42964711212008455,0.42964711212008455,,7,true,false,true,false,true,true,true,nan,0.0
A,1002,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.08948238609304887,0.08948238609304887,,0,8,true,0.0,0.08948238609304887,0.08948238609304887,,7,true,false,true,false,true,true,true,nan,0.0
A,1003,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.5388181328284201,0.5388181328284201,,0,8,true,0.0,0.5388181328284201,0.5388181328284201,,7,true,false,true,false,true,true,true,nan,0.0
A,1003,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.05211819390792394,0.05211819390792394,,0,8,true,0.0,0.05211819390792394,0.05211819390792394,,7,true,false,true,false,true,true,true,nan,0.0
A,1004,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.5209141044398746,0.5209141044398746,,0,8,true,0.0,0.5209141044398746,0.5209141044398746,,7,true,false,true,false,true,true,true,nan,0.0
A,1004,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.06632137918384391,0.06632137918384391,,0,8,true,0.0,0.06632137918384391,0.06632137918384391,,7,true,false,true,false,true,true,true,nan,0.0
A,1000,0.05,3.0,true,17,8,0.0,0.057375390242124326,136,12,136,31,0.07847565835244108,0.529470646815256,0.45099498846281494,6.746941127111757,0,8,true,0.06281757470523466,0.529470646815256,0.4666530721100214,8.428702465826568,7,true,true,true,true,true,true,true,0.044796124064174235,0.01762506449652521
A,1000,0.05,1.5,false,17,8,0.0,0.057375390242124326,136,12,136,31,0.07847565835244108,0.07847565835244108,0.0,1.0,4,13,false,0.06281757470523466,0.06281757470523466,0.0,1.0,3,false,true,true,true,true,false,false,0.044796124064174235,0.04456530634904987
A,1001,0.05,3.0,true,17,8,0.0,0.057375390242124326,136,12,136,31,0.0712476903059928,0.4370611140049166,0.3658134236989238,6.134389930787053,0,8,true,0.06397335232182494,0.4370611140049166,0.37308776168309166,6.8319245145421315,7,true,true,true,true,true,true,true,0.08114367642779047,0.03409045672920661
A,1001,0.05,1.5,false,17,8,0.0,0.057375390242124326,136,12,136,31,0.0712476903059928,0.0712476903059928,0.0,1.0,2,11,false,0.06397335232182494,0.06397335232182494,0.0,1.0,11,false,true,true,true,true,false,false,0.08114367642779047,0.0789305654959005
A,1002,0.05,3.0,true,17,8,0.0,0.057375390242124326,136,12,136,31,0.06633703362278454,0.41632062999883984,0.3499835963760553,6.275840315172727,0,8,true,0.060565417095027,0.41632062999883984,0.35575521290381285,6.873900155688415,7,true,true,true,true,true,true,true,0.044551547983699764,0.02054952321888066
A,1002,0.05,1.5,false,17,8,0.0,0.057375390242124326,136,12,136,31,0.06633703362278454,0.06766630080460012,0.0013292671818155855,1.0200380859562437,8,10,true,0.060565417095027,0.06728893411309794,0.006723517018070946,1.1110124777564359,8,true,true,true,true,true,true,true,0.044551547983699764,0.040972678633893776
A,1003,0.05,3.0,true,17,8,0.0,0.057375390242124326,136,12,136,31,0.05786692009450056,0.4960847940075662,0.43821787391306566,8.57285636072261,0,8,true,0.05031368998804554,0.4960847940075662,0.4457711040195207,9.859837235659622,7,true,true,true,false,true,true,true,0.06188212187037673,0.02211559211693958
A,1003,0.05,1.5,false,17,8,0.0,0.057375390242124326,136,12,136,31,0.05786692009450056,0.05786692009450056,0.0,1.0,4,9,false,0.05031368998804554,0.05031368998804554,0.0,1.0,4,false,true,true,false,false,false,false,0.06188212187037673,0.060890933525529954
A,1004,0.05,3.0,true,17,8,0.0,0.057375390242124326,136,12,136,31,0.06450126537490786,0.4843822601871111,0.41988099481220326,7.509655157486948,0,8,true,0.046263915345749945,0.4843822601871111,0.43811834484136114,10.46997982265695,7,true,true,true,false,true,true,true,0.07489838909310044,0.029168927183439018
A,1004,0.05,1.5,false,17,8,0.0,0.057375390242124326,136,12,136,31,0.06450126537490786,0.06450126537490786,0.0,1.0,7,10,false,0.046263915345749945,0.046263915345749945,0.0,1.0,12,false,true,true,false,false,false,false,0.07489838909310044,0.07566955580149493
B,1000,0.0,3.0,true,17,8,0.0,0.0,136,12,136,31,0.0,0.4750949747746077,0.4750949747746077,,0,8,true,0.0,0.4750949747746077,0.4750949747746077,,7,true,false,true,false,true,true,true,nan,0.0
B,1000,0.0,1.5,false,17,8,0.0,0.0,136,12,136,31,0.0,0.26407322265747873,0.26407322265747873,,0,8,true,0.0,0.26407322265747873,0.26407322265747873,,7,true,false,true,false,true,true,true,nan,0.0
