family,sigma,stride,true_class,predicted_class,count
A,0.0,8,return,return,8
A,0.0,8,return,ramp,2
A,0.0,8,return,jump,0
A,0.0,8,ramp,return,0
A,0.0,8,ramp,ramp,10
A,0.0,8,ramp,jump,0
A,0.0,8,jump,return,0
A,0.0,8,jump,ramp,0
A,0.0,8,jump,jump,10
A,0.0,16,return,return,7
A,0.0,16,return,ramp,3
A,0.0,16,return,jump,0
A,0.0,16,ramp,return,0
A,0.0,16,ramp,ramp,10
A,0.0,16,ramp,jump,0
A,0.0,16,jump,return,0
A,0.0,16,jump,ramp,0
A,0.0,16,jump,jump,10
A,0.05,8,return,return,8
A,0.05,8,return,ramp,2
A,0.05,8,return,jump,0
A,0.05,8,ramp,return,0
A,0.05,8,ramp,ramp,10
A,0.05,8,ramp,jump,0
A,0.05,8,jump,return,0
A,0.05,8,jump,ramp,0
A,0.05,8,jump,jump,10
A,0.05,16,return,return,8
A,0.05,16,return,ramp,2
A,0.05,16,return,jump,0
A,0.05,16,ramp,return,0
A,0.05,16,ramp,ramp,10
A,0.05,16,ramp,jump,0
A,0.05,16,jump,return,0
A,0.05,16,jump,ramp,1
A,0.05,16,jump,jump,9
B,0.0,8,return,return,10
B,0.0,8,return,ramp,0
B,0.0,8,return,jump,0
B,0.0,8,ramp,return,0
B,0.0,8,ramp,ramp,10
B,0.0,8,ramp,jump,0
B,0.0,8,jump,return,0
B,0.0,8,jump,ramp,0
B,0.0,8,jump,jump,10
B,0.0,16,return,return,10
B,0.0,16,return,ramp,0
B,0.0,16,return,jump,0
B,0.0,16,ramp,return,0
B,0.0,16,ramp,ramp,10
B,0.0,16,ramp,jump,0
B,0.0,16,jump,return,0
B,0.0,16,jump,ramp,0
B,0.0,16,jump,jump,10
B,0.05,8,return,return,10
B,0.05,8,return,ramp,0
B,0.05,8,return,jump,0
B,0.05,8,ramp,return,0
B,0.05,8,ramp,ramp,10
B,0.05,8,ramp,jump,0
B,0.05,8,jump,return,0
B,0.05,8,jump,ramp,0
B,0.05,8,jump,jump,10
B,0.05,16,return,return,10
B,0.05,16,return,ramp,0
B,0.05,16,return,jump,0
B,0.05,16,ramp,return,0
B,0.05,16,ramp,ramp,9
B,0.05,16,ramp,jump,1
B,0.05,16,jump,return,0
B,0.05,16,jump,ramp,0
B,0.05,16,jump,jump,10
