family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
A,0.0,8,return,1000,train,17,1.3089298116198642,0.0,0.0,1.3089298116198642,1.7796238467639398,5.823391156628413,9.473903143468002e-16,12.961985638286345,72.04105321873547,0.3362668121005682,0.6,1.0,1.0,0.6,15,9,0.0
A,0.0,8,return,1001,train,17,1.5794884073970072,0.0,0.0,1.5794884073970072,2.164873734131775,7.374358915419358,0.0,22.456554644626983,70.35613439180607,0.19059351797446059,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1002,train,17,1.6141779904269526,0.0,0.0,1.6141779904269526,2.3757589143775832,7.52915207100678,0.0,29.779203435519253,108.7405394655601,0.1617672972846811,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1003,train,17,1.8990313462147066,0.0,0.0,1.8990313462147066,2.7057273954200896,8.161771821198583,0.0,19.02531447392659,69.83602551979587,0.21445753366701328,0.6,1.0,1.0,0.6,15,9,0.0
A,0.0,8,return,1004,train,17,1.7538220984711337,0.0,0.0,1.7538220984711337,2.389554716795381,8.043403041918445,0.0,20.25513474701212,67.47577283746234,0.22480949593927796,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1005,test,17,1.7489015612415084,0.0,0.0,1.7489015612415084,2.533551455222878,7.837164831495512,0.0,18.01446169144954,67.38371389021844,0.370946908698173,0.6,1.0,1.0,0.6,15,9,0.0
A,0.0,8,return,1006,test,17,1.1871407239768406,0.0,0.0,1.1871407239768406,1.9641552709933663,6.230507288406479,0.0,28.218920874360684,98.92425558724396,-0.007257267787767818,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1007,test,17,1.7625652899453632,0.0,0.0,1.7625652899453632,2.566240149156679,8.208095113039287,-3.552713678800501e-16,18.299753830531724,67.5114168841668,0.22205618332667088,0.6,1.0,1.0,0.6,15,9,0.0
A,0.0,8,return,1008,test,17,1.144857426215888,0.0,0.0,1.144857426215888,1.6061083431061491,5.224294449923652,2.3684757858670006e-16,22.016991681111268,82.17845792920257,-0.09039379696263355,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1009,test,17,1.260307181209805,0.0,0.0,1.260307181209805,1.5024873629476705,5.309829083261349,7.105427357601002e-16,12.019908154788936,61.82195177361528,0.11045408278427038,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1010,test,17,1.856848545218874,0.0,0.0,1.856848545218874,2.4326878665356575,7.6768112768704455,-2.3684757858670006e-16,16.839422942190083,61.3740680370599,0.3726108709933465,0.7333333333333333,1.0,1.0,0.7333333333333333,15,11,0.0
A,0.0,8,return,1011,test,17,1.139795944820959,0.0,0.0,1.139795944820959,1.4590678931600964,5.183172429124338,4.736951571734001e-16,14.850213955317264,67.02317676520991,0.19523656270812184,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1012,test,17,1.6352249977966156,0.0,0.0,1.6352249977966156,2.307303657395733,7.199826704912647,2.3684757858670006e-16,15.9368733331761,76.3747010727501,0.4302240524287502,0.6,1.0,1.0,0.6,15,9,0.0
A,0.0,8,return,1013,test,17,1.4204124930541315,0.0,0.0,1.4204124930541315,1.9614888630118417,6.580524220504657,0.0,25.687323391287244,89.41301603406123,0.28759583232722935,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,return,1014,test,17,1.5480908721334414,0.0,0.0,1.5480908721334414,2.1780938271325065,7.408178432709759,0.0,22.684320210765804,68.4662158805127,0.19189864895849176,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
A,0.0,8,ramp,1000,train,17,1.0404896002911526,0.47022913864666177,0.4519306473751213,1.0404896002911526,1.3176543042667208,4.216787115213723,0.0,11.460184338337992,40.71252795936519,0.12010295886671425,0.6666666666666666,1.0,1.0,0.6666666666666666,15,10,0.0
