family,sigma,role,seed,n_frames,degree,L,R,eta,angle_valid_fraction,adjacent_mean,adjacent_p95,adjacent_max,n_above_e95,spearman_rho,spearman_p,runs_z,runs_p,cluster_p,max_run,h1_card_mean
A,0.05,evaluation,1012,129,0,4.693834041725873,0.04212214111195049,0.008973930636981495,1.0,0.036670578450983385,0.05419762589143192,0.08931671484818943,5,-0.07737250503570774,0.3853477706193466,-1.9940026349522408,0.046151766561589674,0.1489255372313843,2,10.953488372093023
A,0.05,evaluation,1013,129,0,4.4703466465917465,0.037675430407466265,0.008427854344626838,1.0,0.03492458317649802,0.05457236405944717,0.08304451425372034,5,0.12861655374473538,0.1479326857679974,-1.9940026349522408,0.046151766561589674,0.1489255372313843,2,11.077519379844961
A,0.05,evaluation,1014,129,0,4.521439107540386,0.04580364085185553,0.010130323501530513,1.0,0.03532374302765927,0.05044652185977586,0.059548158349998326,2,0.010792437282548984,0.9037637429017694,0.2071012197727014,0.8359308095085454,1.0,1,11.852713178294573
A,0.05,evaluation,1015,129,0,4.942969907216157,0.03545008716588714,0.007171819337628208,1.0,0.03861695240012623,0.06120362674684139,0.08590569758764943,10,0.006741000792581589,0.9398022414549347,-2.7889909149718717,0.005287254818605129,0.5402298850574713,2,11.457364341085272
A,0.05,evaluation,1016,129,0,4.963704411827909,0.03255874756644944,0.006559364713351157,1.0,0.038778940717405536,0.05893690461305937,0.09407954708672567,8,0.04204535863021411,0.637475782321512,-3.888321954140066,0.00010093967555974937,0.3708145927036482,2,11.44186046511628
A,0.05,evaluation,1017,129,0,4.407319523807118,0.025186084920783725,0.005714603805041926,1.0,0.03443218377974311,0.05010027423666776,0.08088454397845996,3,0.0013905420252700968,0.9875711653085303,0.2969945921752625,0.7664706377919448,1.0,1,11.372093023255815
A,0.05,evaluation,1018,129,0,4.507794954771473,0.034473818160756925,0.007647601212266011,1.0,0.03521714808415213,0.05369600457655189,0.06270625766954036,4,0.2372791155466032,0.007000953023145998,0.3895284040205915,0.6968853031647788,1.0,1,10.922480620155039
A,0.05,evaluation,1019,129,0,4.543722837368232,0.022304069820307026,0.004908765481220627,1.0,0.035497834666939315,0.06693276829508217,0.08811314485418381,13,0.0010414759201611424,0.9906909975304657,-1.6565322952872854,0.09761407048593183,0.7396301849075462,2,10.573643410852712
B,0.0,calibration,1000,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0
B,0.0,calibration,1001,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0
B,0.0,calibration,1002,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0
B,0.0,calibration,1003,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0
B,0.0,calibration,1004,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0
B,0.0,evaluation,1005,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1006,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1007,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1008,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1009,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
B,0.0,evaluation,1010,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,0.0
