family,seed,variant,n_frames,n_points_per_frame,delta_min,delta_max,mean_d0_vs_full,max_d0_vs_full,mean_d1_vs_full,max_d1_vs_full,max_ratio_d0_to_delta,max_ratio_d0_to_2delta,card0_min,card0_max,card1_min,card1_max,cross_mean,cross_max,bound_pass,verdict
A,11,points32,129,32,0.18084336599799,0.180843365997991,0.17910174552439,0.17910174552439,0.17910174552439,0.179101745524391,0.990369453344393,0.495184726672197,31,31,2,10,0.346112622746118,0.346112622746119,true,PASS
A,11,points16,129,16,0.35994511152238,0.35994511152238,0.353028867134249,0.353028867134249,0.513355717495251,0.525214368270508,0.980785280403231,0.490392640201616,15,15,2,6,0.346112622746118,0.346112622746119,true,PASS
A,12,points32,129,32,0.184225969984344,0.184225969984344,0.182451773185235,0.182451773185235,0.182451773185235,0.182451773185235,0.990369453344392,0.495184726672196,31,31,2,11,0.352586523134818,0.352586523134818,true,PASS
A,12,points16,129,16,0.366677743169578,0.366677743169578,0.359632133152198,0.359632133152198,0.521214306045324,0.535038296320052,0.980785280403231,0.490392640201615,15,15,2,5,0.352586523134818,0.352586523134818,true,PASS
B,11,grid16,129,256,,,0.108429401114964,0.244016031990977,0,0,,,0,1,0,0,,,true,PASS
B,12,grid16,129,256,,,0.0869907809853416,0.211906286144973,0,0,,,0,1,0,0,,,true,PASS
