run_id,family,seed,variant,frame,u,z,card0,card1,d0_vs_full,d1_vs_full,delta,bound_2delta,d0_cross_32_16,field_max_abs_diff
A_ramp_11_sigma0_points32,A,11,points32,0,0,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,1,0.0078125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,2,0.015625,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,3,0.0234375,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,4,0.03125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,5,0.0390625,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,6,0.046875,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,7,0.0546875,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,8,0.0625,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,9,0.0703125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,10,0.078125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,11,0.0859375,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,12,0.09375,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,13,0.1015625,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,14,0.109375,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,15,0.1171875,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,16,0.125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
A_ramp_11_sigma0_points32,A,11,points32,17,0.1328125,0.5,31,10,0.17910174552439,0.17910174552439,0.180843365997991,0.361686731995982,,
