family,seed,z_merge,n_active_pairs,C_ls,f_ls,r2_ls,max_excess_ls,C_max_ratio,median_ratio,floor_observed_at_zero_dz,bound_violations,monotone_rho,monotone_p,mean_overlap,mean_separated,mean_ratio_separated,z_switch_measured,switch_offset,plateau_level,line_slope,verdict_monotone,verdict_bound,verdict_switch,verdict
A,11,1.84501777331949,93,0.422073587672187,0.0154305602317296,0.356370802136162,0.0634079505644377,0.999799526480665,0.983055626241498,0,0,0.79115883006294,4.96899766799513e-17,0.0255584278851151,0.0339664999596026,0.999062519206878,2.02245832060291,0.177440547283413,0.180843365997991,0.999438429145471,PASS,PASS,PASS,PASS
A,12,1.8795281046246,103,0.478451918896732,0.0112110165707635,0.44795358154875,0.0530807180818474,0.997710507329238,0.907927662046919,0,0,0.633852483103144,1.63773024502533e-10,0.0235827503680913,0.030045520247948,0.989927281141262,2.05390142532582,0.174373320701216,0.184225969984344,0.993657967966611,PASS,PASS,PASS,PASS
B,11,,,,,,,,,,,,,,,,,,,,,,,PASS
B,12,,,,,,,,,,,,,,,,,,,,,,,PASS
