run_id,family,seed,sigma,degree,n_intervals,mean,std,min,q25,median,q75,p95,max,nonzero_count,exact_zero,spearman_rho,spearman_p,ks_lag8_p,trend_pass,ks_pass,verdict
A_static_11_sigma0_stride1,A,11,0,0,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
A_static_11_sigma0_stride1,A,11,0,1,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
A_static_11_sigma50_stride1,A,11,0.05,0,128,0.0373180003379456,0.0104534144652197,0.0190450064255991,0.029439832680714,0.0353168389782375,0.0425854260421489,0.0575465600261711,0.0714755523180386,128,false,0.107203351034609,0.228418042806396,0.742266012558539,true,true,PASS
A_static_11_sigma50_stride1,A,11,0.05,1,128,0.065760774391608,0.0175066505479878,0.0332184758901175,0.0524995023451215,0.0639409309358953,0.0763147832434097,0.0988048964063158,0.129084866123311,128,false,0.068763259881588,0.440559183283921,0.812179292834156,true,true,PASS
A_static_12_sigma0_stride1,A,12,0,0,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
A_static_12_sigma0_stride1,A,12,0,1,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
A_static_12_sigma50_stride1,A,12,0.05,0,128,0.037687230722839,0.0109464450021442,0.0183758514639581,0.0291535631788958,0.0365774019802235,0.0441199818718365,0.0564341954425142,0.0701367048218924,128,false,0.0488692547152536,0.583831836447708,0.757589280185951,true,true,PASS
A_static_12_sigma50_stride1,A,12,0.05,1,128,0.0706188181123805,0.0178964608982453,0.0377144975188252,0.0579357057993062,0.0677973664008379,0.0784032731704916,0.108963123503497,0.126601388937159,128,false,-0.0136851276167618,0.878147606325368,0.975287145358914,true,true,PASS
B_static_11_sigma0_stride1,B,11,0,0,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
B_static_11_sigma0_stride1,B,11,0,1,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
B_static_11_sigma50_stride1,B,11,0.05,0,128,0.0330082370865108,0.0125809697271527,0.0153524125757315,0.0233614419009492,0.0306264246059612,0.0385511859379601,0.0579373380861444,0.0775340156281997,128,false,0.0946429644384609,0.287942370602425,0.950849839208206,true,true,PASS
B_static_11_sigma50_stride1,B,11,0.05,1,128,0.0342953701629839,0.0118439797404274,0.0185104507334096,0.0255556151990001,0.0308757934228129,0.0402800482555269,0.0547622240398019,0.0889978224062547,128,false,0.0234447871546777,0.792796018944793,0.846099175119173,true,true,PASS
B_static_12_sigma0_stride1,B,12,0,0,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
B_static_12_sigma0_stride1,B,12,0,1,128,0,0,0,0,0,0,0,0,0,true,,,,true,true,PASS
B_static_12_sigma50_stride1,B,12,0.05,0,128,0.0303380794131083,0.010413411482844,0.0138107733718359,0.0228066014044466,0.0290949398390269,0.0352746941217735,0.049420380980243,0.0840061328712524,128,false,0.00790837274647518,0.929402436256099,0.519230425096263,true,true,PASS
B_static_12_sigma50_stride1,B,12,0.05,1,128,0.0339680258142003,0.00977605451967686,0.0190462367813211,0.0273633899802307,0.0326987433744776,0.0373600257791581,0.0513964246249369,0.0704680908932722,128,false,-0.0202802264931317,0.820254904329138,0.572804511474337,true,true,PASS
