run_id,family,config,z_value,seed,sigma,interval,u_mid,distance,above_e_static_05,above_e_loo
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,71,0.55859375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,72,0.56640625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,73,0.57421875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,74,0.58203125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,75,0.58984375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,76,0.59765625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,77,0.60546875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,78,0.61328125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,79,0.62109375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,80,0.62890625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,81,0.63671875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,82,0.64453125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,83,0.65234375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,84,0.66015625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,85,0.66796875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,86,0.67578125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,87,0.68359375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,88,0.69140625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,89,0.69921875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,90,0.70703125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,91,0.71484375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,92,0.72265625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,93,0.73046875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,94,0.73828125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,95,0.74609375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,96,0.75390625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,97,0.76171875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,98,0.76953125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,99,0.77734375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,100,0.78515625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,101,0.79296875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,102,0.80078125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,103,0.80859375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,104,0.81640625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,105,0.82421875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,106,0.83203125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,107,0.83984375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,108,0.84765625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,109,0.85546875,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,110,0.86328125,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,111,0.87109375,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,112,0.87890625,0,,
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,113,0.88671875,0,,
