run_id,family,seed,stride,interval,u_mid,z_mid,dz,abs_dz,d0,d1,dmax0,dmax1,card0,card1
A_ramp_11_sigma0_stride1,A,11,1,0,0.00390625,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,1,0.01171875,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,2,0.01953125,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,3,0.02734375,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,4,0.03515625,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,5,0.04296875,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,6,0.05078125,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,7,0.05859375,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,8,0.06640625,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,9,0.07421875,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,10,0.08203125,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,11,0.08984375,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,12,0.09765625,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,13,0.10546875,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,14,0.11328125,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,15,0.12109375,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,16,0.12890625,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,17,0.13671875,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
A_ramp_11_sigma0_stride1,A,11,1,18,0.14453125,0.5,0,0,0,0,0.180843365997991,1.28821183763615,63,16
