run_id,comparison,family,seed,sigma,degree,frame,u,distance,tolerance
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,46,0.359375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,47,0.3671875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,48,0.375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,49,0.3828125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,50,0.390625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,51,0.3984375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,52,0.40625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,53,0.4140625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,54,0.421875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,55,0.4296875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,56,0.4375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,57,0.4453125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,58,0.453125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,59,0.4609375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,60,0.46875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,61,0.4765625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,62,0.484375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,63,0.4921875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,64,0.5,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,65,0.5078125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,66,0.515625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,67,0.5234375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,68,0.53125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,69,0.5390625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,70,0.546875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,71,0.5546875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,72,0.5625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,73,0.5703125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,74,0.578125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,75,0.5859375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,0,76,0.59375,0,1.53633563851169e-07
