run_id,family,seed,class,frame,u,z,card0,card1,dmax0,persistence0
A_return_11_sigma0_stride1,A,11,return,0,0,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,1,0.0078125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,2,0.015625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,3,0.0234375,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,4,0.03125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,5,0.0390625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,6,0.046875,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,7,0.0546875,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,8,0.0625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,9,0.0703125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,10,0.078125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,11,0.0859375,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,12,0.09375,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,13,0.1015625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,14,0.109375,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,15,0.1171875,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,16,0.125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,17,0.1328125,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,18,0.140625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,19,0.1484375,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,20,0.15625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,21,0.1640625,0.5,63,13,0.177724761246397,0.177724761246397
A_return_11_sigma0_stride1,A,11,return,22,0.171875,0.5,63,13,0.177724761246397,0.177724761246397
