family,seed,class,expected_z,expected_frame,measured_first_frame,measured_last_frame,measured_first_z,expected_fall_frame,delta_frames_first,cardinality_before,cardinality_after,unique_h0_cardinalities,criterion,cardinality_criterion,event_alignment,note
A,11,return,1.99092560192423,53,54,83,2.07729621530087,83,1,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
A,11,ramp,2.02586113931748,74,75,75,2.08204153764546,-1,1,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
A,11,jump,2.1567739033277,61,61,61,3,-1,0,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
A,12,return,2.37865009682384,56,56,73,2.42114732616526,74,0,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
A,12,ramp,2.06375407460895,73,74,74,2.11966894237401,-1,1,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
A,12,jump,2.20528436472085,64,64,64,3,-1,0,63,63,[63],finite H0 cardinality changes at expected z,RESIDUAL,PASS,H0 finite cardinality is exactly n_points - 1 for every frame; the merge/separation transition is resolved in the H0 death coordinate at z = 2r plus the intra-circle merge scale
B,11,return,0.714980362530101,32,34,99,0.860978582096604,100,2,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
B,11,ramp,0.84525673460345,32,35,128,0.954484427451897,128,3,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
B,11,jump,0.8377508411614,61,61,128,3,128,0,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
B,12,return,0.87057039309279,37,39,96,1.01243106943637,98,2,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
B,12,ramp,0.899354341917266,36,39,128,1.00681907964725,128,3,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
B,12,jump,0.772416096662922,61,61,128,3,128,0,0,1,"[0, 1]",finite H0 cardinality changes at expected z,PASS,PASS,finite H0 bar appears at the separation onset
