run_id,family,seed,sigma,degree,interval,u_mid,distance
A_static_11_sigma0_stride1,A,11,0,0,96,0.75390625,0
A_static_11_sigma0_stride1,A,11,0,0,97,0.76171875,0
A_static_11_sigma0_stride1,A,11,0,0,98,0.76953125,0
A_static_11_sigma0_stride1,A,11,0,0,99,0.77734375,0
A_static_11_sigma0_stride1,A,11,0,0,100,0.78515625,0
A_static_11_sigma0_stride1,A,11,0,0,101,0.79296875,0
A_static_11_sigma0_stride1,A,11,0,0,102,0.80078125,0
A_static_11_sigma0_stride1,A,11,0,0,103,0.80859375,0
A_static_11_sigma0_stride1,A,11,0,0,104,0.81640625,0
A_static_11_sigma0_stride1,A,11,0,0,105,0.82421875,0
A_static_11_sigma0_stride1,A,11,0,0,106,0.83203125,0
A_static_11_sigma0_stride1,A,11,0,0,107,0.83984375,0
A_static_11_sigma0_stride1,A,11,0,0,108,0.84765625,0
A_static_11_sigma0_stride1,A,11,0,0,109,0.85546875,0
A_static_11_sigma0_stride1,A,11,0,0,110,0.86328125,0
A_static_11_sigma0_stride1,A,11,0,0,111,0.87109375,0
A_static_11_sigma0_stride1,A,11,0,0,112,0.87890625,0
A_static_11_sigma0_stride1,A,11,0,0,113,0.88671875,0
A_static_11_sigma0_stride1,A,11,0,0,114,0.89453125,0
A_static_11_sigma0_stride1,A,11,0,0,115,0.90234375,0
A_static_11_sigma0_stride1,A,11,0,0,116,0.91015625,0
A_static_11_sigma0_stride1,A,11,0,0,117,0.91796875,0
A_static_11_sigma0_stride1,A,11,0,0,118,0.92578125,0
A_static_11_sigma0_stride1,A,11,0,0,119,0.93359375,0
A_static_11_sigma0_stride1,A,11,0,0,120,0.94140625,0
A_static_11_sigma0_stride1,A,11,0,0,121,0.94921875,0
A_static_11_sigma0_stride1,A,11,0,0,122,0.95703125,0
A_static_11_sigma0_stride1,A,11,0,0,123,0.96484375,0
A_static_11_sigma0_stride1,A,11,0,0,124,0.97265625,0
A_static_11_sigma0_stride1,A,11,0,0,125,0.98046875,0
A_static_11_sigma0_stride1,A,11,0,0,126,0.98828125,0
A_static_11_sigma0_stride1,A,11,0,0,127,0.99609375,0
A_static_11_sigma0_stride1,A,11,0,1,0,0.00390625,0
A_static_11_sigma0_stride1,A,11,0,1,1,0.01171875,0
A_static_11_sigma0_stride1,A,11,0,1,2,0.01953125,0
A_static_11_sigma0_stride1,A,11,0,1,3,0.02734375,0
A_static_11_sigma0_stride1,A,11,0,1,4,0.03515625,0
A_static_11_sigma0_stride1,A,11,0,1,5,0.04296875,0
A_static_11_sigma0_stride1,A,11,0,1,6,0.05078125,0
A_static_11_sigma0_stride1,A,11,0,1,7,0.05859375,0
A_static_11_sigma0_stride1,A,11,0,1,8,0.06640625,0
A_static_11_sigma0_stride1,A,11,0,1,9,0.07421875,0
A_static_11_sigma0_stride1,A,11,0,1,10,0.08203125,0
A_static_11_sigma0_stride1,A,11,0,1,11,0.08984375,0
A_static_11_sigma0_stride1,A,11,0,1,12,0.09765625,0
A_static_11_sigma0_stride1,A,11,0,1,13,0.10546875,0
A_static_11_sigma0_stride1,A,11,0,1,14,0.11328125,0
A_static_11_sigma0_stride1,A,11,0,1,15,0.12109375,0
A_static_11_sigma0_stride1,A,11,0,1,16,0.12890625,0
A_static_11_sigma0_stride1,A,11,0,1,17,0.13671875,0
A_static_11_sigma0_stride1,A,11,0,1,18,0.14453125,0
A_static_11_sigma0_stride1,A,11,0,1,19,0.15234375,0
A_static_11_sigma0_stride1,A,11,0,1,20,0.16015625,0
A_static_11_sigma0_stride1,A,11,0,1,21,0.16796875,0
A_static_11_sigma0_stride1,A,11,0,1,22,0.17578125,0
A_static_11_sigma0_stride1,A,11,0,1,23,0.18359375,0
A_static_11_sigma0_stride1,A,11,0,1,24,0.19140625,0
A_static_11_sigma0_stride1,A,11,0,1,25,0.19921875,0
A_static_11_sigma0_stride1,A,11,0,1,26,0.20703125,0
A_static_11_sigma0_stride1,A,11,0,1,27,0.21484375,0
A_static_11_sigma0_stride1,A,11,0,1,28,0.22265625,0
A_static_11_sigma0_stride1,A,11,0,1,29,0.23046875,0
A_static_11_sigma0_stride1,A,11,0,1,30,0.23828125,0
A_static_11_sigma0_stride1,A,11,0,1,31,0.24609375,0
A_static_11_sigma0_stride1,A,11,0,1,32,0.25390625,0
A_static_11_sigma0_stride1,A,11,0,1,33,0.26171875,0
A_static_11_sigma0_stride1,A,11,0,1,34,0.26953125,0
A_static_11_sigma0_stride1,A,11,0,1,35,0.27734375,0
A_static_11_sigma0_stride1,A,11,0,1,36,0.28515625,0
A_static_11_sigma0_stride1,A,11,0,1,37,0.29296875,0
A_static_11_sigma0_stride1,A,11,0,1,38,0.30078125,0
A_static_11_sigma0_stride1,A,11,0,1,39,0.30859375,0
A_static_11_sigma0_stride1,A,11,0,1,40,0.31640625,0
A_static_11_sigma0_stride1,A,11,0,1,41,0.32421875,0
A_static_11_sigma0_stride1,A,11,0,1,42,0.33203125,0
A_static_11_sigma0_stride1,A,11,0,1,43,0.33984375,0
A_static_11_sigma0_stride1,A,11,0,1,44,0.34765625,0
A_static_11_sigma0_stride1,A,11,0,1,45,0.35546875,0
A_static_11_sigma0_stride1,A,11,0,1,46,0.36328125,0
A_static_11_sigma0_stride1,A,11,0,1,47,0.37109375,0
A_static_11_sigma0_stride1,A,11,0,1,48,0.37890625,0
A_static_11_sigma0_stride1,A,11,0,1,49,0.38671875,0
A_static_11_sigma0_stride1,A,11,0,1,50,0.39453125,0
A_static_11_sigma0_stride1,A,11,0,1,51,0.40234375,0
A_static_11_sigma0_stride1,A,11,0,1,52,0.41015625,0
A_static_11_sigma0_stride1,A,11,0,1,53,0.41796875,0
A_static_11_sigma0_stride1,A,11,0,1,54,0.42578125,0
A_static_11_sigma0_stride1,A,11,0,1,55,0.43359375,0
A_static_11_sigma0_stride1,A,11,0,1,56,0.44140625,0
A_static_11_sigma0_stride1,A,11,0,1,57,0.44921875,0
A_static_11_sigma0_stride1,A,11,0,1,58,0.45703125,0
A_static_11_sigma0_stride1,A,11,0,1,59,0.46484375,0
A_static_11_sigma0_stride1,A,11,0,1,60,0.47265625,0
A_static_11_sigma0_stride1,A,11,0,1,61,0.48046875,0
A_static_11_sigma0_stride1,A,11,0,1,62,0.48828125,0
A_static_11_sigma0_stride1,A,11,0,1,63,0.49609375,0
A_static_11_sigma0_stride1,A,11,0,1,64,0.50390625,0
A_static_11_sigma0_stride1,A,11,0,1,65,0.51171875,0
A_static_11_sigma0_stride1,A,11,0,1,66,0.51953125,0
A_static_11_sigma0_stride1,A,11,0,1,67,0.52734375,0
A_static_11_sigma0_stride1,A,11,0,1,68,0.53515625,0
A_static_11_sigma0_stride1,A,11,0,1,69,0.54296875,0
A_static_11_sigma0_stride1,A,11,0,1,70,0.55078125,0
A_static_11_sigma0_stride1,A,11,0,1,71,0.55859375,0
A_static_11_sigma0_stride1,A,11,0,1,72,0.56640625,0
A_static_11_sigma0_stride1,A,11,0,1,73,0.57421875,0
A_static_11_sigma0_stride1,A,11,0,1,74,0.58203125,0
A_static_11_sigma0_stride1,A,11,0,1,75,0.58984375,0
A_static_11_sigma0_stride1,A,11,0,1,76,0.59765625,0
A_static_11_sigma0_stride1,A,11,0,1,77,0.60546875,0
A_static_11_sigma0_stride1,A,11,0,1,78,0.61328125,0
A_static_11_sigma0_stride1,A,11,0,1,79,0.62109375,0
A_static_11_sigma0_stride1,A,11,0,1,80,0.62890625,0
A_static_11_sigma0_stride1,A,11,0,1,81,0.63671875,0
A_static_11_sigma0_stride1,A,11,0,1,82,0.64453125,0
A_static_11_sigma0_stride1,A,11,0,1,83,0.65234375,0
A_static_11_sigma0_stride1,A,11,0,1,84,0.66015625,0
A_static_11_sigma0_stride1,A,11,0,1,85,0.66796875,0
A_static_11_sigma0_stride1,A,11,0,1,86,0.67578125,0
A_static_11_sigma0_stride1,A,11,0,1,87,0.68359375,0
A_static_11_sigma0_stride1,A,11,0,1,88,0.69140625,0
A_static_11_sigma0_stride1,A,11,0,1,89,0.69921875,0
A_static_11_sigma0_stride1,A,11,0,1,90,0.70703125,0
A_static_11_sigma0_stride1,A,11,0,1,91,0.71484375,0
A_static_11_sigma0_stride1,A,11,0,1,92,0.72265625,0
A_static_11_sigma0_stride1,A,11,0,1,93,0.73046875,0
A_static_11_sigma0_stride1,A,11,0,1,94,0.73828125,0
A_static_11_sigma0_stride1,A,11,0,1,95,0.74609375,0
A_static_11_sigma0_stride1,A,11,0,1,96,0.75390625,0
