source,family,seed,sigma,control,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,triangle_excess_mean
frozen_family_A,A,1000,0.0,matched_forward,0.1839884645962502,0.0,0.0,0.1839884645962502,0.05188684332102453,0.23587530791727473,0.0,0.27672983104546417,0.4150947465681962,0.4450592746512279,1.0,1.0,0.5465515019380903
frozen_family_A,A,1000,0.0,matched_folded,0.23587530791727473,0.0,0.0,0.23587530791727473,0.0,0.23587530791727473,0.0,0.0,0.0,1.0,1.0,1.0,1.0
frozen_family_A,A,1001,0.0,matched_forward,0.34700213964552784,0.0,0.0,0.34700213964552784,0.03307612318148434,0.3800782628270122,0.0,0.17640599030124982,0.2646089854518747,0.6645125331773789,1.0,1.0,0.661102901178305
frozen_family_A,A,1001,0.0,matched_folded,0.3139260164640435,0.0,0.0,0.3139260164640435,0.0,0.3139260164640435,0.0,0.0,0.0,1.0,1.0,1.0,1.0
frozen_family_A,A,1002,0.0,matched_forward,0.179756228209545,0.0,0.0,0.179756228209545,0.022438761949003808,0.2021949901585488,0.0,0.11967339706135365,0.17951009559203046,0.5926827632032854,1.0,1.0,0.6250570524083191
frozen_family_A,A,1002,0.0,matched_folded,0.2021949901585488,0.0,0.0,0.2021949901585488,0.0,0.2021949901585488,0.0,0.0,0.0,1.0,1.0,1.0,1.0
frozen_family_A,A,1003,0.0,matched_forward,0.13899112074725536,0.0,0.0,0.13899112074725536,0.0811909805550757,0.22018210130233107,0.0,0.43301856296040375,0.6495278444406056,0.18059396922802673,1.0,1.0,0.4241611557462683
frozen_family_A,A,1003,0.0,matched_folded,0.22018210130233107,0.0,0.0,0.22018210130233107,0.0,0.22018210130233107,0.0,0.0,0.0,1.0,1.0,1.0,1.0
frozen_family_A,A,1004,0.0,matched_forward,0.19543443904236274,0.0,0.0,0.19543443904236274,0.03769067332502646,0.2331251123673892,0.0,0.2010169244001411,0.30152538660021166,0.41633322177206633,1.0,1.0,0.548502710169517
frozen_family_A,A,1004,0.0,matched_folded,0.2331251123673892,0.0,0.0,0.2331251123673892,0.0,0.2331251123673892,0.0,0.0,0.0,1.0,1.0,1.0,1.0
