metric,metric_role,family,class,seed,sigma,stride,degree,source,role,trajectory_id,n_frames,n_intervals,floor_e,floor_source,floor_n_distances,L,R,eta,eta_defined,efficiency_valid,L_per_interval,L_over_floor_ratio,speed_mean,speed_std,speed_max,speed_change_mean,speed_change_mean_abs,speed_change_max_abs,angle_defined_count,angle_defined_fraction,angle_floor_valid_count,angle_floor_valid_fraction,mean_cosine_angle,mean_angle_rad,straight_count,reversal_count,near_straight_count,near_reversal_count,q_defined_count,q_valid_count,q_valid_fraction,q_mean,q_std,cosine_anomaly_count,unresolved_zero_step_count,card_min,card_mean,card_max,card_change_count,empty_diagram_count,essential_count_min,essential_count_max,essential_count_total,_valid_mismatch,_anomaly_mismatch
exact_scipy,corrected_candidate,A,jump,11,0.05,4,0,cached_smoke,scientific,A_jump_11_sigma50,33,32,0.05785205792112252,static_sigma50_train_like_pool,64,2.1481758769291446,0.4956567901866569,0.23073380327462156,True,False,0.06929599602997241,1.1978138465610497,2.1481758769291446,2.687590852352654,16.50212561747435,1.2174952735088513,50.6200088278809,487.418300569452,31,1.0,0,0.0,,,1,3,2,3,31,2,0.06451612903225806,0.12673298599249688,0.05525689793367307,0,0,63,63.0,63,0,0,1,1,33,0,0
exact_scipy,corrected_candidate,A,jump,11,0.05,4,1,cached_smoke,scientific,A_jump_11_sigma50,33,32,0.10801281900487454,static_sigma50_train_like_pool,64,2.4376728353553316,0.6048117102252131,0.2481102884083506,True,False,0.07863460759210747,0.7280118074555461,2.4376728353553316,3.2764466796910767,20.34944276754053,-0.36358575099864304,57.644236379020604,621.995557868247,31,1.0,0,0.0,,,0,1,1,1,31,2,0.06451612903225806,0.08454961793934251,0.017262636046935065,0,0,2,6.424242424242424,13,18,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,1,0,fresh_train_like,scientific,A_jump_1000_sigma0,129,128,0.0,zero_sigma_exact_zero,0,0.4167746686155396,0.4167746686155396,1.0,True,True,0.003281690304059367,,0.4167746686155396,4.696811982477933,53.347157582789066,0.0,107.53442788341734,6828.4361705970005,0,0.0,0,0.0,,,0,0,0,0,2,2,0.015748031496062992,0.0,0.0,0,127,63,63.0,63,0,0,1,1,129,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,1,1,fresh_train_like,scientific,A_jump_1000_sigma0,129,128,0.0,zero_sigma_exact_zero,0,0.849553438280091,0.849553438280091,1.0,True,True,0.00668939715181174,,0.849553438280091,9.573981024144429,108.74284009985165,0.0,219.1981658705671,13919.083532781011,0,0.0,0,0.0,,,0,0,0,0,2,2,0.015748031496062992,0.0,0.0,0,127,2,10.03875968992248,19,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,2,0,fresh_train_like,scientific,A_jump_1000_sigma0,65,64,0.0,zero_sigma_exact_zero,0,0.4167746686155396,0.4167746686155396,1.0,True,True,0.00661547093040539,,0.4167746686155396,3.3080463777242226,26.673578791394533,0.0,54.193937861880954,1707.1090426492501,0,0.0,0,0.0,,,0,0,0,0,2,2,0.031746031746031744,0.0,0.0,0,63,63,63.0,63,0,0,1,1,65,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,2,1,fresh_train_like,scientific,A_jump_1000_sigma0,65,64,0.0,zero_sigma_exact_zero,0,0.849553438280091,0.849553438280091,1.0,True,True,0.013484975210795095,,0.849553438280091,6.743121369446945,54.371420049925824,0.0,110.46891692683342,3479.7708831952527,0,0.0,0,0.0,,,0,0,0,0,2,2,0.031746031746031744,0.0,0.0,0,63,2,10.107692307692307,19,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,4,0,fresh_train_like,scientific,A_jump_1000_sigma0,33,32,0.0,zero_sigma_exact_zero,0,0.4167746686155396,0.4167746686155396,1.0,True,True,0.013444344148888374,,0.4167746686155396,2.3205031472478934,13.336789395697267,0.0,27.53401681692339,426.77726066231253,0,0.0,0,0.0,,,0,0,0,0,2,2,0.06451612903225806,0.0,0.0,0,31,63,63.0,63,0,0,1,1,33,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.0,4,1,fresh_train_like,scientific,A_jump_1000_sigma0,33,32,0.0,zero_sigma_exact_zero,0,0.849553438280091,0.849553438280091,1.0,True,True,0.02740494962193842,,0.849553438280091,4.730113357975606,27.185710024962912,0.0,56.12533682572988,869.9427207988132,0,0.0,0,0.0,,,0,0,0,0,2,2,0.06451612903225806,0.0,0.0,0,31,2,10.242424242424242,19,1,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.05,1,0,fresh_train_like,scientific,A_jump_1000_sigma50,129,128,0.055153732833621016,static_sigma50_train_like_pool,256,7.152709612912249,0.3741808798257835,0.05231316523046076,True,False,0.056320548133167316,1.0211556904600847,7.152709612912249,5.378474776372518,47.54175106786681,6.274366308525328,428.03215391314774,5598.009469303373,127,1.0,3,0.023622047244094488,0.9289680741616418,0.29141851817768893,3,7,4,9,127,7,0.05511811023622047,0.5511481779693337,0.2949115440254338,0,0,63,63.0,63,0,0,1,1,129,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.05,1,1,fresh_train_like,scientific,A_jump_1000_sigma50,129,128,0.1045617016282595,static_sigma50_train_like_pool,256,8.224345902571585,0.7069434859152788,0.08595741160330234,True,False,0.06475862915410698,0.619334117039703,8.224345902571585,7.985902722523307,93.06843704560896,2.7065312821349026,503.31883580497606,11242.41093141045,127,1.0,0,0.0,,,2,3,2,3,127,2,0.015748031496062992,0.07092273954304498,0.0021073177200110135,0,0,2,7.131782945736434,17,83,0,0,0,0,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.05,2,0,fresh_train_like,scientific,A_jump_1000_sigma50,65,64,0.06467399107753946,static_sigma50_train_like_pool,128,4.015622731595874,0.3741808798257835,0.09318128341132234,True,False,0.06374004335866466,0.9855591451321589,4.015622731595874,3.7657144874258264,27.199723230713683,0.2256281811720546,147.19425395721146,1648.5184311073647,63,1.0,2,0.031746031746031744,0.9385423705010507,0.34245705586523895,3,4,3,4,63,5,0.07936507936507936,0.5355999583301723,0.338293656818363,0,0,63,63.0,63,0,0,1,1,65,0,0
exact_scipy,corrected_candidate,A,jump,1000,0.05,2,1,fresh_train_like,scientific,A_jump_1000_sigma50,65,64,0.11098942010746575,static_sigma50_train_like_pool,128,4.447020597129774,0.7069434859152788,0.15897013977663135,True,False,0.07058762852586943,0.6359851998282612,4.447020597129774,5.382261067746141,45.56313978489932,-1.0847616168097869,173.64327860473026,2663.2536386117463,63,1.0,0,0.0,,,0,1,0,1,63,2,0.031746031746031744,0.09552823142268765,0.006170362025609576,0,0,2,7.323076923076923,17,44,0,0,0,0,0,0
