metric,family,class,sigma,stride,degree,n_seeds,L_mean,L_std,eta_mean,eta_std,speed_mean_mean,speed_mean_std,speed_change_mean_abs_mean,speed_change_mean_abs_std,angle_floor_valid_fraction_mean,angle_floor_valid_fraction_std,q_mean_mean,q_mean_std,floor_e_mean,floor_e_std,efficiency_coverage
exact_scipy,A,jump,0.0,1,0,3,0.5116842850429628,0.09031067527301077,1.0,0.0,0.5116842850429628,0.09031067527301077,132.0226035613213,23.301576435795408,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.0,1,1,3,0.7760688953430236,0.07059801090884986,1.0,0.0,0.7760688953430236,0.07059801090884986,200.23799655590702,18.21539859418262,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.0,2,0,3,0.5116842850429628,0.09031067527301077,1.0,0.0,0.5116842850429628,0.09031067527301077,66.53520100114208,11.743254791055627,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.0,2,1,3,0.7760688953430236,0.07059801090884986,1.0,0.0,0.7760688953430236,0.07059801090884986,100.91359350238173,9.179982624845996,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.0,4,0,3,0.5116842850429628,0.09031067527301077,1.0,0.0,0.5116842850429628,0.09031067527301077,33.80417470219316,5.966331063197615,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.0,4,1,3,0.7760688953430236,0.07059801090884986,1.0,0.0,0.7760688953430236,0.07059801090884986,51.27061605362943,4.664023430365305,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,A,jump,0.05,1,0,3,7.103841718820391,0.16411943270426477,0.06871067519500422,0.016514046093908538,7.103841718820391,0.16411943270426477,447.51347484074995,21.547645757961046,0.028871391076115485,0.009092130223458674,0.5670860082338405,0.01866988818305373,0.055153732833621016,0.0,0.0
exact_scipy,A,jump,0.05,1,1,3,8.160402145806932,0.254905868151528,0.076657641260865,0.008056059070568168,8.160402145806932,0.254905868151528,478.5488443843649,40.12392874728493,0.0,0.0,0.08132785909202657,0.009327846194230605,0.1045617016282595,0.0,0.0
exact_scipy,A,jump,0.05,2,0,3,3.78545604025382,0.3261025946058824,0.12959360473743223,0.031636375747561334,3.78545604025382,0.3261025946058824,150.31490462437515,21.164264670372958,0.010582010582010581,0.018328579974273833,0.32090291937160526,0.23961263375252306,0.06467399107753946,0.0,0.0
exact_scipy,A,jump,0.05,2,1,3,4.444315523930589,0.09479144079892685,0.14092515293121033,0.01720295987147251,4.444315523930589,0.09479144079892685,151.2632008710513,19.462447592723628,0.0,0.0,0.0991151039518779,0.033473406496259954,0.11098942010746575,0.0,0.0
exact_scipy,A,jump,0.05,4,0,3,2.2997796097317864,0.13798819083561564,0.2128745273862737,0.05157335119925223,2.2997796097317864,0.13798819083561564,52.829457879291986,5.679029574487801,0.06451612903225806,0.06451612903225806,0.39614216559062226,0.24135931925467907,0.05785205792112252,0.0,0.0
exact_scipy,A,jump,0.05,4,1,3,2.448472090723646,0.22380112291267482,0.2552937853382329,0.008074815871492646,2.448472090723646,0.22380112291267482,55.73369336450219,4.529649479165488,0.0,0.0,0.08314996962462283,0.025508603185564038,0.10801281900487454,0.0,0.0
exact_scipy,A,ramp,0.0,1,0,3,2.2638620222811685,0.06632603317126677,0.2272718684299303,0.03267501715342338,2.2638620222811685,0.06632603317126677,50.08712297267498,5.561959759547537,0.5931758530183727,0.016391070861938088,0.1873140219408883,0.0216255466559918,0.0,0.0,1.0
exact_scipy,A,ramp,0.0,1,1,3,1.703941503296286,0.1952326006058596,0.45696155157368357,0.029698335345409214,1.703941503296286,0.1952326006058596,19.542325170809267,1.0970489278692725,0.5931758530183727,0.016391070861938088,0.18953023878364308,0.014884002203264718,0.0,0.0,1.0
exact_scipy,A,ramp,0.0,2,0,3,1.883235029906719,0.05542713295744954,0.2732185061754295,0.03934725168117224,1.883235029906719,0.05542713295744954,28.176758155538725,5.031946872603867,0.5925925925925926,0.018328579974273833,0.2681485038072035,0.03384854186400906,0.0,0.0,1.0
exact_scipy,A,ramp,0.0,2,1,3,1.5308718141688782,0.14935758588565784,0.5076174610901032,0.023167104074058382,1.5308718141688782,0.14935758588565784,14.53226952046179,1.4751471290521034,0.5925925925925926,0.018328579974273833,0.18384482184087184,0.010321948378554067,0.0,0.0,1.0
exact_scipy,A,ramp,0.0,4,0,3,1.4686106108981896,0.09690671254812848,0.35221819615487887,0.06485842910435684,1.4686106108981896,0.09690671254812848,12.774194861361165,0.9140913343595742,0.6021505376344086,0.018624202231923397,0.30774624014335267,0.08458835977964785,0.0,0.0,1.0
exact_scipy,A,ramp,0.0,4,1,3,1.4182634249534722,0.12433595327737575,0.5473923656723065,0.0182287715786806,1.4182634249534722,0.12433595327737575,10.878893757670804,0.938862143975901,0.6021505376344086,0.018624202231923397,0.1686602199837175,0.017588147713187365,0.0,0.0,1.0
exact_scipy,A,ramp,0.05,1,0,3,6.230112734778288,0.26053567757343166,0.07964714535403826,0.010579340862770691,6.230112734778288,0.26053567757343166,320.9855259232325,38.73523134865944,0.007874015748031496,0.007874015748031496,0.5063484794802465,0.037446488217114104,0.055153732833621016,0.0,0.0
exact_scipy,A,ramp,0.05,1,1,3,8.347001565639129,0.25240699874510286,0.07698629637215909,0.006585253813319158,8.347001565639129,0.25240699874510286,421.73420751557904,34.70449228239604,0.0,0.0,,,0.1045617016282595,0.0,0.0
exact_scipy,A,ramp,0.05,2,0,3,3.1381524269322156,0.3255097773060482,0.15948549556560643,0.030322448184457444,3.1381524269322156,0.3255097773060482,90.1865118080609,20.17009919765777,0.0,0.0,0.344969921348918,,0.06467399107753946,0.0,0.0
exact_scipy,A,ramp,0.05,2,1,3,4.475809354693527,0.22575042851633947,0.14371462397152038,0.013779903220704638,4.475809354693527,0.22575042851633947,126.7191956265573,3.997886831051167,0.0,0.0,,,0.11098942010746575,0.0,0.0
exact_scipy,A,ramp,0.05,4,0,3,1.8553411861625209,0.1328892699506542,0.2675091614764708,0.032589131513386806,1.8553411861625209,0.1328892699506542,25.96039288886052,6.59979881447208,0.053763440860215055,0.06715051611181073,0.06558869054181289,0.05909953048341912,0.05785205792112252,0.0,0.0
exact_scipy,A,ramp,0.05,4,1,3,2.752807997684851,0.20110547516600144,0.23322880607636734,0.004759018340683182,2.752807997684851,0.20110547516600144,36.39976424928222,9.192346487763105,0.0,0.0,,,0.10801281900487454,0.0,0.0
exact_scipy,A,return,0.0,1,0,3,3.661415638447449,0.2610974802052443,0.0,0.0,3.661415638447449,0.2610974802052443,122.66842694021953,16.534462989225162,0.5984251968503937,0.03608327318862866,0.2542398880077998,0.04315365497844088,0.0,0.0,1.0
exact_scipy,A,return,0.0,1,1,3,3.0041685973771286,0.3919234529031356,0.0,0.0,3.0041685973771286,0.3919234529031356,58.85582604435782,1.8977249709103696,0.5669291338582677,0.03608327318862866,0.17047063713115404,0.052956494807525796,0.0,0.0,1.0
exact_scipy,A,return,0.0,2,0,3,2.822458512189319,0.32073087854374877,0.0,0.0,2.822458512189319,0.32073087854374877,39.32663057776308,2.1667161613570176,0.6031746031746031,0.04199605255658078,0.3069259130034669,0.029519450354459742,0.0,0.0,1.0
exact_scipy,A,return,0.0,2,1,3,2.7908146452507077,0.3378766526910208,0.0,0.0,2.7908146452507077,0.3378766526910208,39.69501383936057,2.9940530432275767,0.5714285714285715,0.04199605255658082,0.1658100153122516,0.050488131981542846,0.0,0.0,1.0
exact_scipy,A,return,0.0,4,0,3,2.155860972356901,0.3802142414503266,0.0,0.0,2.155860972356901,0.3802142414503266,31.816158578438927,6.569338882011421,0.6129032258064516,0.032258064516129004,0.2753057958384557,0.024731534038614347,0.0,0.0,1.0
exact_scipy,A,return,0.0,4,1,3,2.623268177995081,0.3415550896168706,0.0,0.0,2.623268177995081,0.3415550896168706,34.55466641944144,1.7025230550760997,0.5806451612903226,0.03225806451612906,0.14094559502865486,0.04857397955959023,0.0,0.0,1.0
exact_scipy,A,return,0.05,1,0,3,5.852929296994955,0.07849077314936335,0.006211352118605626,0.0030505304920690653,5.852929296994955,0.07849077314936335,361.17899745151925,48.19159840584574,0.0,0.0,0.2206350652353488,0.22868062236972939,0.055153732833621016,0.0,0.0
exact_scipy,A,return,0.05,1,1,3,9.234506693138664,0.19211908456348703,0.005615877718866489,0.002087735592195633,9.234506693138664,0.19211908456348703,449.3942284626772,13.710241312784186,0.0,0.0,,,0.1045617016282595,0.0,0.0
exact_scipy,A,return,0.05,2,0,3,3.49334850788388,0.09449895959065055,0.010360902545821393,0.004911946582666156,3.49334850788388,0.09449895959065055,93.97515336113013,13.816359680836973,0.021164021164021163,0.018328579974273833,0.18791172114264346,0.10376420132435205,0.06467399107753946,0.0,0.0
exact_scipy,A,return,0.05,2,1,3,5.475242532898906,0.42225809441396434,0.009380469797200893,0.0029533578197318165,5.475242532898906,0.42225809441396434,149.54885358274757,26.64804099865965,0.0,0.0,,,0.11098942010746575,0.0,0.0
exact_scipy,A,return,0.05,4,0,3,2.1186494589738665,0.38156953259303694,0.016719893086114997,0.00552344463247171,2.1186494589738665,0.38156953259303694,35.11868559248921,9.630446333644185,0.08602150537634408,0.09855001494528688,0.1296722282041664,0.03654746399852598,0.05785205792112252,0.0,0.0
exact_scipy,A,return,0.05,4,1,3,3.6801691586500933,0.24366162360847268,0.013970659866328996,0.004574086483152521,3.6801691586500933,0.24366162360847268,50.98722485959945,7.44022852208324,0.09677419354838708,0.03225806451612903,0.12615297008394358,0.05030049538772748,0.10801281900487454,0.0,0.0
exact_scipy,B,jump,0.0,1,0,3,0.43668215344724604,0.01523535468999903,1.0,0.0,0.43668215344724604,0.01523535468999903,112.67087247369574,3.9309614368652612,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,B,jump,0.0,1,1,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
exact_scipy,B,jump,0.0,2,0,3,0.43668215344724604,0.01523535468999903,1.0,0.0,0.43668215344724604,0.01523535468999903,56.782542873648254,1.9810797717535265,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,B,jump,0.0,2,1,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
exact_scipy,B,jump,0.0,4,0,3,0.43668215344724604,0.01523535468999903,1.0,0.0,0.43668215344724604,0.01523535468999903,28.849195169676126,1.006516335648968,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exact_scipy,B,jump,0.0,4,1,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
exact_scipy,B,jump,0.05,1,0,3,5.64549695007238,0.1270294931034622,0.07575184315418199,0.0009795448702538418,5.64549695007238,0.1270294931034622,358.1941214979888,21.9970360937096,0.0,0.0,0.2032750409630356,0.1659787824975431,0.05344460778252064,0.0,0.0
exact_scipy,B,jump,0.05,1,1,3,4.353628001804653,0.18122566969121062,0.007948463870890205,0.0009669748650207542,4.353628001804653,0.18122566969121062,144.07851250862564,14.112728687404752,0.0,0.0,,,0.05650591423074903,0.0,0.0
exact_scipy,B,jump,0.05,2,0,3,3.0270294663788904,0.036540413048689054,0.1412553180475379,0.0006534492953697949,3.0270294663788904,0.036540413048689054,113.54347378573887,3.902690812550285,0.0,0.0,0.09624534400392644,0.02859659548962542,0.052177047198146705,0.0,0.0
exact_scipy,B,jump,0.05,2,1,3,2.1448379849037313,0.08107756968843423,0.01616197428406368,0.0023351885082885018,2.1448379849037313,0.08107756968843423,41.92125649953204,12.590059254866812,0.0,0.0,,,0.05717450186806192,0.0,0.0
