family,seed,sigma,warp,variant,interval_index,u_midpoint,h_master,h_variant,nu_variant,nu_reference,ratio_observed,ratio_predicted_derivative,relative_deviation,shortcut_ratio
A,1000,0.0,u_pow_1p5,clock_warp_same_states,21,0.16796875,0.0078125,0.0048027031782580665,0.0,0.0,nan,1.6266514168811166,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,22,0.17578125,0.0078125,0.004913134197384553,0.0,0.0,nan,1.5900927839998504,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,23,0.18359375,0.0078125,0.005021136677114776,0.0,0.0,nan,1.5558932426442087,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,24,0.19140625,0.0078125,0.005126864145519855,0.0,0.0,nan,1.5238095238095237,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,25,0.19921875,0.0078125,0.005230454603266876,0.0,0.0,nan,1.4936320896298771,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,26,0.20703125,0.0078125,0.005332032637358389,0.0,0.0,nan,1.4651793487860163,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,27,0.21484375,0.0078125,0.0054317111786637146,0.0,0.0,nan,1.4382930399215832,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,28,0.22265625,0.0078125,0.005529592973980771,0.0,0.0,nan,1.4128345142027134,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,29,0.23046875,0.0078125,0.0056257718273396845,0.0,0.0,nan,1.388681717128788,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,30,0.23828125,0.0078125,0.005720333653281798,0.0,0.0,nan,1.3657267192842237,nan,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,31,0.24609375,0.0078125,0.005813357375797787,3.7517870398986726,2.7917412941846393,1.3438877906465991,1.3438736818105856,1.049863257570805e-05,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,32,0.25390625,0.0078125,0.00590491569970053,5.577304590404259,4.215489720049913,1.323050217363173,1.323037168951557,9.862467905138512e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,33,0.26171875,0.0078125,0.005995075775885844,3.8527130819910145,2.9564552792682015,1.3031528361033284,1.303140739800589,9.28242235854941e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,34,0.26953125,0.0078125,0.006083899777795665,2.942537991335846,2.2914695976503623,1.28412700493739,1.2841157662482048,8.752084103853773e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,35,0.27734375,0.0078125,0.00617144540315534,4.241075449085034,3.350216394840423,1.2659108992531345,1.2659004354067769,8.26593155744419e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,36,0.28515625,0.0078125,0.006257766312494445,4.505257947959117,3.6086849812270607,1.248448665205239,1.2484389034253929,7.819189084250996e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,37,0.29296875,0.0078125,0.006342912513922855,4.969005146997153,4.034299510865321,1.2316896982027363,1.2316805742712016,7.407709210755988e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,38,0.30078125,0.0078125,0.006426930701999428,3.410619431143726,2.80573628606124,1.2155880251781024,1.215579482236138,7.027876078139556e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,39,0.30859375,0.0078125,0.006509864557216971,5.052822792601545,4.210328577466225,1.200101773444564,1.2000937609877589,6.676525672924213e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,40,0.31640625,0.0078125,0.0065917550115565104,4.590426930640116,3.8731481248295623,1.1851927121537902,1.1851851851851851,6.3508797605235645e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,41,0.32421875,0.0078125,0.006672640484695541,3.000969766380964,2.5631222216321206,1.17082585490989,1.1708187732233637,6.048490755579244e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,42,0.33203125,0.0078125,0.006752557094738626,4.877528077617809,4.215780713639038,1.1569691141282237,1.1569624416994997,5.767195618022616e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,43,0.33984375,0.0078125,0.006831538846751223,4.810248954782563,4.206259532434117,1.1435929993599143,1.1435867038269811,5.505077063347492e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,44,0.34765625,0.0078125,0.006909617801889367,4.7656393978610945,4.214879593068332,1.1306703531219553,1.1306644053401174,5.260430778436605e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,45,0.35546875,0.0078125,0.006986824229511218,1.1737642728440127,1.049713236638869,1.1181761188439894,1.1181704925033795,5.031737688997769e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,46,0.36328125,0.0078125,0.007063186744318717,4.663040783092862,4.215798764461962,1.1060871364167164,1.1060818077124537,4.817640273598686e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,47,0.37109375,0.0078125,0.007138732430290673,4.596372803003438,4.199971275584855,1.094381961544102,1.094376908890831,4.616922405652881e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,48,0.37890625,0.0078125,0.007213486952930365,3.98057940006404,3.6753737686355628,1.0830407056917593,1.0830359094758604,4.428492035139083e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,49,0.38671875,0.0078125,0.007287474661146681,4.512321313228617,4.209078685837525,1.0720448939126337,1.072040336276493,4.251366283979388e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,50,0.39453125,0.0078125,0.0073607186799150015,3.102697146557958,2.923274348132881,1.0613773382370613,1.0613730028906552,4.084658639597121e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,51,0.40234375,0.0078125,0.007433240994718593,4.419558022027757,4.20500990308789,1.0510220246526212,1.0510178967085795,3.927567793684447e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,52,0.41015625,0.0078125,0.007505062528643247,4.384191644361236,4.2116649508462505,1.0409640119830328,1.0409600778117687,3.7793680545053773e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,53,0.41796875,0.0078125,0.007576203212893207,3.593108288907745,3.4844311760250966,1.031189341213111,1.0311855883153744,3.6394008790467153e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,54,0.42578125,0.0078125,0.007646682051399956,4.293555979475368,4.202426552951712,1.0216849540082142,1.0216813709025614,3.5070676190206776e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,55,0.43359375,0.0078125,0.00771651718011962,1.6838432155791694,1.6631558530104993,1.0124386193460004,1.0124351954693322,3.3818230376687863e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,56,0.44140625,0.0078125,0.007785725921541198,4.217093471406058,4.202641146097703,1.0034388673231773,1.0034355929425036,3.2631697507464733e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,57,0.44921875,0.0078125,0.007854324834871973,4.152774146613474,4.175006350510141,0.9946749293222154,0.9946717954563348,3.1506532053019606e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,58,0.45703125,0.0078125,0.007922329762309666,4.148101328776738,4.206416206597661,0.9861366838285148,0.9861336821781851,3.043857424185023e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,59,0.46484375,0.0078125,0.00798975587177081,4.100044094912011,4.1930689768758365,0.9778146072776661,0.9778117301634254,2.9424010287331658e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,60,0.47265625,0.0078125,0.008056617696398205,1.4547959230665768,1.5002540260385464,0.9696997293904934,0.9696969696969697,2.845933946317436e-06,1.0
A,1000,0.0,u_pow_1p5,clock_warp_same_states,61,0.48046875,0.0078125,0.00812292917114249,4.041162634945984,4.201737965149924,0.9617835925191468,0.9617809436452611,2.754134299688333e-06,1.0
