family,seed,sigma,variant,degree,frame,base_diagram_size,transformed_diagram_size,distance,filtration_range,tolerance,within_tolerance
A,1000,0.0,translation,0,0,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,1,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,2,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,3,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,4,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,5,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,6,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,7,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,8,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,9,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,10,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,11,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,12,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,13,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,14,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,15,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,16,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,17,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,18,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,19,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,20,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,21,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,22,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,23,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,24,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,25,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,26,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,27,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,28,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,29,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,30,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,31,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,0,32,63,63,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,0,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,1,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,2,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,3,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,4,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,5,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,6,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,7,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
A,1000,0.0,translation,1,8,14,14,0.0,2.4562120227711985,2.4562120227711987e-07,true
