family,seed,sigma,variant,degree,L_base,L_variant,abs_delta_L,R_base,R_variant,abs_delta_R,eta_base,eta_variant,abs_delta_eta,max_abs_delta_speed,max_abs_delta_angle,angle_valid_fraction_base,angle_valid_fraction_variant,compact_max_abs_difference
A,1000,0.0,translation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1000,0.0,rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1001,0.0,translation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1001,0.0,rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1002,0.0,translation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1002,0.0,rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1003,0.0,translation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1003,0.0,rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1004,0.0,translation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1004,0.0,rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,nan,0.0,0.0,0.0
A,1000,0.05,translation,0,1.1009429164880125,1.1009429164880125,0.0,0.028621693149587513,0.028621693149587513,0.0,0.02599743612583492,0.02599743612583492,0.0,4.440892098500626e-15,7.216449660063518e-15,1.0,1.0,7.105427357601002e-15
A,1000,0.05,rotation,0,1.1009429164880125,1.100942916488012,4.440892098500626e-16,0.028621693149587513,0.028621693149587485,2.7755575615628914e-17,0.02599743612583492,0.025997436125834904,1.734723475976807e-17,5.329070518200751e-15,1.765254609153999e-14,1.0,1.0,9.947598300641403e-14
A,1001,0.05,translation,0,1.303882457827776,1.3038824578277755,4.440892098500626e-16,0.04747180770548155,0.04747180770548157,1.3877787807814457e-17,0.03640804232044657,0.036408042320446594,2.7755575615628914e-17,7.105427357601002e-15,1.3988810110276972e-14,1.0,1.0,1.9539925233402755e-14
A,1001,0.05,rotation,0,1.303882457827776,1.303882457827776,0.0,0.04747180770548155,0.04747180770548153,2.0816681711721685e-17,0.03640804232044657,0.03640804232044655,1.3877787807814457e-17,5.329070518200751e-15,6.217248937900877e-15,1.0,1.0,3.552713678800501e-14
A,1002,0.05,translation,0,1.245663388946784,1.2456633889467843,2.220446049250313e-16,0.028846097564622225,0.028846097564622225,0.0,0.023157217126700477,0.023157217126700474,3.469446951953614e-18,6.661338147750939e-15,1.4654943925052066e-14,1.0,1.0,1.9539925233402755e-14
A,1002,0.05,rotation,0,1.245663388946784,1.245663388946784,0.0,0.028846097564622225,0.028846097564622336,1.1102230246251565e-16,0.023157217126700477,0.023157217126700564,8.673617379884035e-17,4.440892098500626e-15,9.547918011776346e-15,1.0,1.0,5.684341886080802e-14
A,1003,0.05,translation,0,1.0378988359170975,1.0378988359170973,2.220446049250313e-16,0.031951399260648494,0.03195139926064844,5.551115123125783e-17,0.030784695150386142,0.030784695150386093,4.85722573273506e-17,6.8833827526759706e-15,1.2878587085651816e-14,1.0,1.0,8.881784197001252e-15
A,1003,0.05,rotation,0,1.0378988359170975,1.0378988359170973,2.220446049250313e-16,0.031951399260648494,0.031951399260648536,4.163336342344337e-17,0.030784695150386142,0.030784695150386187,4.5102810375396984e-17,7.105427357601002e-15,1.7319479184152442e-14,1.0,1.0,4.973799150320701e-14
A,1004,0.05,translation,0,1.079010949050569,1.079010949050569,0.0,0.0425977806922303,0.0425977806922303,0.0,0.039478543502929654,0.039478543502929654,0.0,6.661338147750939e-15,4.884981308350689e-15,1.0,1.0,2.842170943040401e-14
A,1004,0.05,rotation,0,1.079010949050569,1.0790109490505682,8.881784197001252e-16,0.0425977806922303,0.0425977806922303,0.0,0.039478543502929654,0.03947854350292969,3.469446951953614e-17,7.105427357601002e-15,6.8833827526759706e-15,1.0,1.0,1.8474111129762605e-13
